Source,Target
118340,299534
120,122917
122,122917
121,122917
348,126889
126889,157336
8077,126889
126889,384521
127585,383498
49521,127585
127585,246655
127585,297762
131631,294254
101299,131631
70160,131631
131631,333339
329,135397
7191,135397
27578,135397
135397,293167
602,137113
348,137113
563,137113
137113,157336
155,138843
44912,138843
9738,138843
1924,138843
54138,140607
1891,140607
8077,140607
140607,330459
49521,141052
141052,297762
141052,246655
141052,209112
150540,260513
812,150540
12092,150540
11360,150540
809,150689
10882,150689
2312,150689
808,150689
604,152601
605,152601
152601,335984
152601,500664
101,156022
156022,261023
27292,156022
156022,281957
568,157336
75612,157336
157336,286217
22,166426
58,166426
72197,166426
10140,166428
166428,281957
166428,336843
671,166428
168259,281957
168259,345887
156022,168259
3134,168259
4771,169917
769,169917
169917,398181
8012,169917
177572,281957
177572,345887
479,177572
2048,177572
954,177677
646,177677
708,177677
691,177677
18360,181533
1593,181533
863,181533
12437,181533
1891,181808
11,181808
1892,181808
1894,181808
172,188927
174,188927
1894,188927
1895,188927
424,190859
190859,467952
190859,300671
190859,451915
98566,194662
272,194662
14,194662
155,194662
198663,294254
157350,198663
198663,428078
198663,262500
205596,467952
205596,449176
184352,205596
423,205596
646,206647
691,206647
253,206647
954,206647
1726,207703
102899,207703
99861,207703
155,207703
40807,207933
207933,378018
11549,207933
24150,207933
272,209112
1924,209112
1452,209112
210577,346364
75780,210577
210577,346685
210577,336843
10193,214756
72105,214756
11551,214756
214756,250546
12689,216015
8966,216015
216015,466282
9813,216015
8067,227159
562,227159
227159,345887
10694,227159
228150,369885
857,228150
1771,228150
424,228150
74997,238636
10029,238636
238636,281957
238636,345887
10651,241554
241554,281957
241554,345887
984,241554
9654,242582
218,242582
242582,449443
64690,242582
769,244786
74997,244786
244786,281957
244786,398181
245891,357096
10651,245891
245891,281957
156022,245891
49521,246655
1924,246655
1452,246655
254128,479475
11123,254128
8656,254128
80278,254128
82690,257344
257344,353486
257344,333339
620,257344
767,257445
671,257445
10140,257445
50619,257445
259316,338952
767,259316
68728,259316
129,259316
260346,357096
260346,281957
260346,345887
984,260346
1924,260513
1452,260513
8536,260513
9531,260513
155,263115
263115,297762
246655,263115
264660,438590
9738,264660
2048,264660
62,264660
124905,268896
68726,268896
91314,268896
7191,268896
269149,278927
269149,346685
269149,338970
269149,346364
561,270303
77949,270303
270303,396422
259693,270303
10527,270946
10140,270946
49013,270946
10258,270946
155,271110
141052,271110
1924,271110
1452,271110
425,278154
17610,278154
49519,278154
278154,387592
280217,324849
137106,280217
280217,322456
280217,382512
101299,281338
262500,281338
281338,336843
131631,281338
281957,395834
994,281957
281957,336843
49021,281957
9738,283995
283995,299536
1924,283995
1452,283995
284052,299536
284052,297762
68735,284052
49521,284052
246655,284053
99861,284053
141052,284053
1924,284053
246655,284054
99861,284054
141052,284054
1924,284054
568,286217
95,286217
286217,395992
291805,458594
291805,467938
241554,291805
281957,291805
141052,293660
1924,293660
1452,293660
8536,293660
297725,336843
101299,297725
281957,297725
297725,392044
297761,297762
49521,297761
209112,297761
141052,297761
69735,297762
30061,297762
297762,299536
141052,297802
297762,297802
49521,297802
209112,297802
299534,299536
9738,299534
141052,299534
1924,299534
9738,299536
1924,299536
1452,299536
8536,299536
297762,299537
141052,299537
1924,299537
1452,299537
9738,300668
1979,300668
300668,346685
300668,346364
264660,300681
164457,300681
18111,300681
10514,300681
81,303857
34433,303857
28609,303857
39108,303857
307081,312221
70,307081
307081,396371
60308,307081
60308,312221
312221,319888
9443,312221
10947,313369
525,313369
2976,313369
10545,313369
1924,315635
1452,315635
8536,315635
9531,315635
201088,315837
9323,315837
12162,315837
4349,315837
316029,424694
1125,316029
316029,363676
313369,316029
246655,320288
263115,320288
141052,320288
1924,320288
197796,321612
224141,321612
10882,321612
808,321612
57214,324552
8363,324552
35056,324552
324552,325133
8834,324668
2501,324668
13184,324668
2502,324668
324786,374720
616,324786
227306,324786
1369,324786
99861,324857
141052,324857
1924,324857
1927,324857
126889,329865
157336,329865
329865,384521
828,329865
1891,330459
330459,348350
348,330459
25196,332562
525,332562
332562,458737
254470,332562
101299,333339
157350,333339
2048,333339
294254,333339
424,334543
334543,451915
334543,467952
334543,487558
1924,335983
1452,335983
8536,335983
9531,335983
78,335984
604,335984
605,335984
335984,500664
20662,335988
6520,335988
300803,335988
335988,375588
294254,336843
101299,336843
336843,346364
281957,337167
337167,341174
337167,392044
11027,337167
337339,384018
949,337339
769,337339
1429,337339
1771,338952
228150,338952
767,338952
1996,338970
1995,338970
6637,338970
85,338970
2502,339403
1572,339403
339403,449443
9679,339403
339846,345940
205775,339846
11836,339846
2756,339846
843,340613
340613,346685
340613,340666
8999,340613
954,343668
955,343668
817,343668
9486,343668
562,345887
281957,345887
11713,345887
4771,345887
578,345940
332567,345940
579,345940
205775,345940
12437,346672
24,346672
7131,346672
8966,346672
828,346910
10200,346910
339964,346910
329865,346910
604,347375
605,347375
24,347375
59961,347375
1891,348350
11,348350
348,348350
19,351064
901,351064
234,351064
780,351064
88751,351286
329,351286
18890,351286
425,351286
954,353081
714,353081
691,353081
2503,353081
4011,354912
745,354912
254470,354912
332562,354912
600,359940
359940,458737
281957,359940
345887,359940
13377,360920
17979,360920
11395,360920
9479,360920
259693,361292
561,361292
1487,361292
71,361292
102899,363088
1924,363088
1452,363088
8536,363088
10734,369972
3558,369972
1646,369972
369972,423899
81,372058
372058,505262
372058,378064
8392,372058
228150,374720
369885,374720
676,374720
375262,449176
375262,424694
375262,507076
375262,467952
20662,375588
11886,375588
10907,375588
11469,375588
375785,449176
375785,398818
84892,375785
100898,375785
369972,381284
381284,487558
50014,381284
640,381284
74997,381288
10781,381288
381288,398175
28355,381288
209112,383498
272,383498
155,383498
293660,383498
81,390634
39108,390634
28609,390634
34433,390634
4771,395990
64689,395990
562,395990
1572,395990
10781,398173
1696,398173
984,398173
12521,398173
398818,449176
26371,398818
398818,424694
84892,398818
2503,399035
314365,399035
8834,399035
1369,399035
9738,399055
399055,440298
150689,399055
381284,399055
533,399174
263109,399174
14447,399174
530,399174
281957,399360
290512,399360
309050,399360
75174,399360
1573,399402
281957,399402
12162,399402
1927,399402
604,399579
605,399579
315837,399579
263115,399579
7131,400155
24021,400155
277,400155
4771,400535
1266,400535
562,400535
1701,400535
433,400650
10140,400650
68737,400650
671,400650
9679,401469
1572,401469
398181,401469
5503,401469
1417,401545
1124,401545
787,401545
2501,401545
769,401847
401847,467952
401847,424694
152532,401847
281957,401981
336843,401981
101299,401981
101,401981
59108,402900
339403,402900
402900,442249
401469,402900
333339,404368
353486,404368
82690,404368
27205,404368
294254,405774
198663,405774
131631,405774
405774,428078
278927,407436
34584,407436
281957,407436
581,407436
407451,449176
674,407451
9880,407451
407451,466282
417261,443463
307081,417261
157336,417261
395990,417261
419430,463684
747,419430
1359,419430
359940,419430
419743,449176
184352,419743
26280,419743
377154,419743
278927,420814
15655,420814
281957,420814
407436,420814
11357,424139
11361,424139
948,424139
424139,429476
369192,424694
397538,424694
152532,424694
10139,424694
87101,424783
2048,424783
198184,424783
605,424783
90,425505
13184,425505
9737,425505
2503,425505
1949,426426
13,426426
171274,426426
112160,426426
8871,426543
1417,426543
9279,426543
109445,426543
370567,426563
297708,426563
10528,426563
58574,426563
124905,427641
7191,427641
293167,427641
268896,427641
281957,428078
101299,428078
294254,428078
333339,428078
640,429197
769,429197
424,429197
508,429197
193756,429351
281957,429351
423899,429351
369972,429351
36599,429476
948,429476
4232,429476
10781,429476
76341,433249
263115,433249
336843,433249
101299,433249
281957,438145
345887,438145
504,438145
11121,438145
2048,438590
157336,438590
87101,438590
198184,438590
708,438689
56292,438689
657,438689
710,438689
228150,438799
369885,438799
1771,438799
16869,438799
261023,438808
429203,438808
438808,504172
2034,438808
250546,439079
259693,439079
396422,439079
588,439079
10098,440472
404245,440472
10098,440472
404245,440472
406997,442062
9479,442062
671,442062
22794,442062
357096,442249
2749,442249
345887,442249
984,442249
263115,445651
333339,445651
101299,445651
1924,445651
77,446021
1368,446021
1369,446021
13,446021
4421,446101
10035,446101
342737,446101
336804,446101
65754,446807
446807,460071
15472,446807
294254,446807
109445,446894
411,446894
321612,446894
9325,446894
707,447200
2924,447200
843,447200
395991,447200
405774,447332
381283,447332
110415,447332
19908,447332
562,449443
1572,449443
949,449443
11841,450001
9053,450001
9461,450001
11713,450001
155,450465
272,450465
1927,450465
141052,450465
451915,487558
769,451915
424,451915
363676,451915
363676,454227
451915,454227
316029,454227
324786,454227
52449,454293
8363,454293
400928,454293
233063,454293
345887,454619
3134,454619
454619,458594
281957,454619
954,454992
27205,454992
454992,484247
36669,454992
11931,455207
8966,455207
581,455207
9880,455207
455980,460019
4922,455980
260514,455980
254470,455980
224141,458423
353616,458423
354912,458423
313369,458423
10781,458594
357096,458594
74997,458594
45569,458594
458594,458737
346685,458737
324786,458737
562,460321
345887,460321
275,460321
424121,460321
9486,463272
954,463272
691,463272
36669,463272
747,463684
1562,463684
402897,463684
2454,463821
11324,463821
278927,463821
336843,463821
449176,466282
43923,466282
12689,466282
9880,466282
8966,466411
294254,466411
465136,466411
449176,466411
281957,470044
450322,470044
392044,470044
55846,470044
449176,472451
26280,472451
376867,472451
377154,472451
398175,473149
74997,473149
346364,473149
562,473149
13260,474335
39185,474335
114887,474335
66894,474335
324786,475132
424694,475132
425336,475132
640,475132
155,483906
263115,483906
272,483906
1927,483906
336843,484247
346364,484247
101299,484247
454983,484247
445571,484436
9598,484436
450322,484436
10345,484436
769,487558
424,487558
363676,487558
141052,487672
297762,487672
49521,487672
209112,487672
300668,489999
338970,489999
340677,489999
284276,489999
449176,490132
26280,490132
184352,490132
376867,490132
11596,491584
81188,491584
426543,491584
10014,491584
956,493922
334541,493922
14869,493922
1427,493922
293768,497814
562,497814
146233,497814
345887,497814
13186,498745
114150,498745
1124,498745
2976,498745
432139,499362
200201,499362
432139,499362
200201,499362
9739,500664
281,500664
97020,500664
238,500852
240,500852
769,500852
1422,500852
330459,503314
1979,503314
1891,503314
1894,503314
293768,503616
376290,503616
10779,503616
340103,503616
4836,504172
13815,504172
436,504172
443463,504172
1924,505262
1452,505262
8536,505262
9531,505262
423,505954
424,505954
369885,505954
228150,505954
500,520360
949,520360
1844,520360
298,520360
522417,527435
11675,522417
263341,522417
8922,522417
507,531593
562,531593
429203,531593
339403,531593
129,532321
81,532321
378064,532321
34433,532321
995,537996
872,537996
9394,537996
14128,537996
504897,543103
543094,543103
817,543103
105,543103
336843,552686
392044,552686
281957,552686
101299,552686
150689,556803
2270,556803
810,556803
9880,556803
9564,565179
98,565179
9462,565179
13448,565179
452507,566512
378018,566512
101299,566512
201085,566512
11395,567604
11881,567604
51052,567604
8871,567604
106646,567860
318846,567860
652,567860
9806,567860
14564,575185
397981,575185
173484,575185
84348,575185
